First user campaign,total_leads,avg_total_score,class_1_count,class_1_percent,class_2_count,class_2_percent,class_3_count,class_3_percent,class_4_count,class_4_percent
(direct),87,5.712643678160919,20,0.22988505747126436,31,0.3563218390804598,27,0.3103448275862069,9,0.10344827586206896
(organic),25,5.28,3,0.12,11,0.44,10,0.4,1,0.04
Class Registration,3,4.0,0,0.0,0,0.0,3,1.0,0,0.0
Competitors,3,6.166666666666667,0,0.0,3,1.0,0,0.0,0,0.0
Gradebook,38,6.0394736842105265,9,0.23684210526315788,21,0.5526315789473685,7,0.18421052631578946,1,0.02631578947368421
Music School,1,6.0,0,0.0,1,1.0,0,0.0,0,0.0
Performance Max-US Competitor Signals,23,7.3478260869565215,8,0.34782608695652173,13,0.5652173913043478,2,0.08695652173913043,0,0.0
School Management,28,5.732142857142857,5,0.17857142857142858,16,0.5714285714285714,7,0.25,0,0.0
Student Information System,6,6.583333333333333,4,0.6666666666666666,0,0.0,1,0.16666666666666666,1,0.16666666666666666
[USA] DREAMCLASS Brand,4,7.125,2,0.5,2,0.5,0,0.0,0,0.0
[ΝΑ] Features,34,6.1911764705882355,11,0.3235294117647059,14,0.4117647058823529,8,0.23529411764705882,1,0.029411764705882353
[ΝΑ] School Management,17,6.147058823529412,4,0.23529411764705882,9,0.5294117647058824,4,0.23529411764705882,0,0.0
missing,31,4.661290322580645,7,0.22580645161290322,6,0.1935483870967742,8,0.25806451612903225,10,0.3225806451612903
